Image_name,Pixel_X,Pixel_Y,GCP_ID,camera,Real_X,Real_Y,Real_Z
GCP_1_camPANO.tif,2158.814815,1849.679012,GCP_1,camPANO,453868.7507,6071752.034,3.476
GCP_2_camPANO.tif,3235.851852,1400.296296,GCP_2,camPANO,453870.4797,6071777.577,4.183
GCP_3_camPANO.tif,3814.222222,1139.555556,GCP_3,camPANO,453870.6382,6071802.52,4.166
GCP_4_camPANO.tif,4242.962963,960,GCP_4,camPANO,453871.8867,6071826.209,4.325
GCP_10_camPANO.tif,4690.222222,700.8888889,GCP_10,camPANO,453866.2965,6071899.742,2.62
GCP_11_camPANO.tif,4452.444444,785.4814815,GCP_11,camPANO,453864.4409,6071875.372,2.503
GCP_12_camPANO.tif,4168,888.5925926,GCP_12,camPANO,453863.2735,6071850.052,2.647
GCP_13_camPANO.tif,3854.222222,1014.814815,GCP_13,camPANO,453863.3202,6071825.739,2.854
GCP_14_camPANO.tif,3354.962963,1219.259259,GCP_14,camPANO,453862.8528,6071799.93,2.668
GCP_15_camPANO.tif,2618.962963,1485.037037,GCP_15,camPANO,453861.8982,6071774.789,2.633
GCP_16_camPANO.tif,1580,1853.777778,GCP_16,camPANO,453861.483,6071750.976,2.483
GCP_17_camPANO.tif,646.2222222,1824.888889,GCP_17,camPANO,453849.2421,6071747.124,1.362
GCP_18_camPANO.tif,2053.333333,1445.925926,GCP_18,camPANO,453849.6358,6071777.947,1.264
GCP_19_camPANO.tif,2824.888889,1221.62963,GCP_19,camPANO,453850.7874,6071802.219,1.318
GCP_20_camPANO.tif,3383.407407,1041.185185,GCP_20,camPANO,453851.5152,6071827.661,1.386
GCP_21_camPANO.tif,3814.814815,909.037037,GCP_21,camPANO,453853.0058,6071852.595,1.413
GCP_22_camPANO.tif,4147.259259,807.7037037,GCP_22,camPANO,453854.7293,6071876.949,1.41
GCP_23_camPANO.tif,4396.049383,727.308642,GCP_23,camPANO,453855.6688,6071902.573,1.236
GCP_24_camPANO.tif,4598.814815,662.8148148,GCP_24,camPANO,453857.0969,6071926.654,1.195
GCP_25_camPANO.tif,4759.111111,602.4691358,GCP_25,camPANO,453857.7655,6071953.005,1.199
GCP_26_camPANO.tif,4861.62963,562.5679012,GCP_26,camPANO,453857.5862,6071977.088,0.96
GCP_30_camPANO.tif,4845.62963,501.9259259,GCP_30,camPANO,453848.6389,6072020.831,0.564
GCP_31_camPANO.tif,4736.592593,529.7777778,GCP_31,camPANO,453846.9328,6072001.466,0.485
GCP_32_camPANO.tif,4613.62963,577.4814815,GCP_32,camPANO,453846.8477,6071974.877,0.307
GCP_33_camPANO.tif,4480.296296,618.962963,GCP_33,camPANO,453846.8335,6071950.348,0.637
GCP_34_camPANO.tif,4260.148148,696.5925926,GCP_34,camPANO,453847.5832,6071914.731,0.942
GCP_35_camPANO.tif,4109.037037,752,GCP_35,camPANO,453846.4854,6071900.141,0.424
GCP_36_camPANO.tif,3855.111111,809.4814815,GCP_36,camPANO,453845.6805,6071876.86,1.064
GCP_37_camPANO.tif,3470.814815,920.5925926,GCP_37,camPANO,453843.9349,6071851.154,0.876
GCP_38_camPANO.tif,2928,1041.777778,GCP_38,camPANO,453840.8221,6071826.083,0.865
GCP_39_camPANO.tif,2212,1229.777778,GCP_39,camPANO,453839.6422,6071797.778,0.799
GCP_40_camPANO.tif,1367.703704,1380.444444,GCP_40,camPANO,453836.9274,6071775.679,1.14
GCP_45_camPANO.tif,1963.851852,1204.740741,GCP_45,camPANO,453831.2747,6071801.166,0.004
GCP_46_camPANO.tif,2768,1058.666667,GCP_46,camPANO,453835.1855,6071828.727,-0.26
GCP_47_camPANO.tif,3346.222222,938.6666667,GCP_47,camPANO,453839.8434,6071852.433,0.028
GCP_48_camPANO.tif,3725.037037,826.0740741,GCP_48,camPANO,453841.1301,6071877.774,0.2
GCP_49_camPANO.tif,3969.185185,760.2962963,GCP_49,camPANO,453840.9269,6071902.209,-0.178
GCP_50_camPANO.tif,4168.888889,683.8518519,GCP_50,camPANO,453840.3877,6071927.836,0.011
GCP_51_camPANO.tif,4272.296296,624.8888889,GCP_51,camPANO,453837.8624,6071951.289,0.08
GCP_52_camPANO.tif,4438.222222,573.9259259,GCP_52,camPANO,453837.9419,6071978.769,0.069
GCP_53_camPANO.tif,4550.518519,534.2222222,GCP_53,camPANO,453837.231,6072003.863,0.035
GCP_54_camPANO.tif,4604.444444,507.8518519,GCP_54,camPANO,453835.5441,6072023.412,-0.079
GCP_55_camPANO.tif,4633.185185,483.8518519,GCP_55,camPANO,453830.5941,6072052.76,-0.827
GCP_56_camPANO.tif,4648,472,GCP_56,camPANO,453828.7287,6072065.125,-1.047
GCP_57_camPANO.tif,4710.222222,446.5185185,GCP_57,camPANO,453827.1181,6072090.748,-1.054
GCP_58_camPANO.tif,4791.703704,419.5555556,GCP_58,camPANO,453826.9529,6072117.926,-0.946
GCP_64_camPANO.tif,4942.518519,370.0740741,GCP_64,camPANO,453823.6751,6072195.173,-1.443
GCP_65_camPANO.tif,4853.037037,387.5555556,GCP_65,camPANO,453822.0844,6072166.072,-1.316
GCP_66_camPANO.tif,4778.666667,407.1111111,GCP_66,camPANO,453821.3015,6072141.943,-1.397
GCP_67_camPANO.tif,4686.419753,422.9135802,GCP_67,camPANO,453819.3202,6072120.659,-1.249
GCP_68_camPANO.tif,4596.444444,450.962963,GCP_68,camPANO,453820.0555,6072090.283,-1.341
GCP_69_camPANO.tif,4492.444444,481.4814815,GCP_69,camPANO,453819.6816,6072064.627,-1.497
GCP_70_camPANO.tif,4416,498.0740741,GCP_70,camPANO,453818.6549,6072050.781,-1.549
GCP_71_camPANO.tif,4259.111111,526.6666667,GCP_71,camPANO,453816.3277,6072026.629,-1.57
GCP_72_camPANO.tif,4149.135802,568.0987654,GCP_72,camPANO,453817.7988,6072001.279,-1.699
GCP_80_camPANO.tif,2257.481481,1085.62963,GCP_80,camPANO,453821.9548,6071827.148,-1.669
GCP_81_camPANO.tif,1427.851852,1221.037037,GCP_81,camPANO,453817.1598,6071800.904,-1.824
GCP_84_camPANO.tif,2811.555556,1678.222222,GCP_84,camPANO,453875.054,6071756.277,5.349
GCP_85_camPANO.tif,3670,1346,GCP_85,camPANO,453877.7374,6071776.769,5.649
GCP_91_camPANO.tif,4987,1239,GCP_91,camPANO,453897.381,6071772.429,9.248
GCP_92_camPANO.tif,3877,1394,GCP_92,camPANO,453885.1208,6071764.292,7.918
GCP_93_camPANO.tif,3594.666667,1385.777778,GCP_93,camPANO,453881.0106,6071765.522,7.504
GCP_94_camPANO.tif,3471.111111,1469.777778,GCP_94,camPANO,453880.7346,6071762.176,7.102
GCP_95_camPANO.tif,3068,1656,GCP_95,camPANO,453878.9649,6071754.905,6.304
GCP_96_camPANO.tif,2928.444444,1699.111111,GCP_96,camPANO,453877.7121,6071753.986,5.902
GCP_97_camPANO.tif,2651.111111,1799.111111,GCP_97,camPANO,453875.2892,6071752.155,4.93
GCP_98_camPANO.tif,2938,1861,GCP_98,camPANO,453885.9067,6071738.164,9.022
GCP_99_camPANO.tif,3048,1819,GCP_99,camPANO,453886.4432,6071739.105,9.215
GCP_100_camPANO.tif,3465,1848,GCP_100,camPANO,453889.493,6071740.781,8.879
GCP_101_camPANO.tif,2479.111111,1556,GCP_101,camPANO,453862.8456,6071769.305,2.8
GCP_102_camPANO.tif,2902.666667,1474.222222,GCP_102,camPANO,453867.6004,6071772.828,3.772
GCP_103_camPANO.tif,1518.666667,1626.222222,GCP_103,camPANO,453850.5953,6071762.953,1.356
GCP_107_camPANO.tif,1314.37037,1194.074074,GCP_107,camPANO,453810.073,6071805.026,-2.602
GCP_108_camPANO.tif,2122.666667,1078.518519,GCP_108,camPANO,453815.241,6071830.581,-2.572
GCP_115_camPANO.tif,4349.62963,534.2222222,GCP_115,camPANO,453822.2681,6072021.402,-1.373
GCP_116_camPANO.tif,4829.037037,477.6296296,GCP_116,camPANO,453842.1897,6072049.11,0.033
GCP_117_camPANO.tif,4904.888889,447.4074074,GCP_117,camPANO,453841.2243,6072078.21,-0.057
GCP_122_camPANO.tif,4942.518519,302.8148148,GCP_122,camPANO,453793.3622,6072369.096,-3.067
GCP_123_camPANO.tif,4862.222222,304.5925926,GCP_123,camPANO,453783.9014,6072373.542,-3.357
GCP_125_camPANO.tif,4789.62963,313.7777778,GCP_125,camPANO,453781.8909,6072343.995,-3.314
GCP_126_camPANO.tif,4927.407407,314.3703704,GCP_126,camPANO,453795.8609,6072344.238,-3.3
GCP_127_camPANO.tif,4924.740741,306.6666667,GCP_127,camPANO,453793.5807,6072355.295,-3.068
GCP_130_camPANO.tif,4696.493827,347.0617284,GCP_130,camPANO,453787.4562,6072272.341,-3.329
GCP_131_camPANO.tif,4536.296296,355.7530864,GCP_131,camPANO,453778.1183,6072249.557,-3.274
GCP_132_camPANO.tif,4685.432099,354.1728395,GCP_132,camPANO,453792.6418,6072243.627,-2.78
GCP_133_camPANO.tif,4669.62963,348.4444444,GCP_133,camPANO,453786.5681,6072264.793,-3.216
GCP_134_camPANO.tif,4310.123457,372.345679,GCP_134,camPANO,453764.8648,6072223.898,-3.379
GCP_135_camPANO.tif,4363.259259,375.9012346,GCP_135,camPANO,453772.4378,6072212.664,-3.204
GCP_136_camPANO.tif,4324.148148,391.9012346,GCP_136,camPANO,453776.0981,6072187.159,-3.148
GCP_138_camPANO.tif,4467.160494,393.2839506,GCP_138,camPANO,453788.5408,6072182.965,-2.945
GCP_139_camPANO.tif,4687.407407,389.3333333,GCP_139,camPANO,453804.5675,6072188.321,-2.727
GCP_142_camPANO.tif,4709.333333,364.4444444,GCP_142,camPANO,453798.9444,6072225.189,-2.573
GCP_144_camPANO.tif,4373.333333,417.1851852,GCP_144,camPANO,453789.5908,6072150.572,-2.887
GCP_145_camPANO.tif,4133.925926,418.962963,GCP_145,camPANO,453772.5725,6072147.606,-3.174
GCP_146_camPANO.tif,3986.666667,423.1111111,GCP_146,camPANO,453762.4905,6072144.942,-3.435
GCP_147_camPANO.tif,4011.259259,449.1851852,GCP_147,camPANO,453773.5754,6072115.989,-3.399
GCP_148_camPANO.tif,4265.777778,448.2962963,GCP_148,camPANO,453791.7036,6072114.655,-2.988
GCP_150_camPANO.tif,4503.111111,463.4074074,GCP_150,camPANO,453814.0793,6072089.26,-2.028
GCP_152_camPANO.tif,3995.555556,477.3333333,GCP_152,camPANO,453782.278,6072085.802,-3.272
GCP_153_camPANO.tif,4021.62963,485.037037,GCP_153,camPANO,453786.3159,6072078.458,-3.201
GCP_154_camPANO.tif,3855.111111,520,GCP_154,camPANO,453786.4671,6072046.987,-3.21
GCP_155_camPANO.tif,3651.111111,544.8888889,GCP_155,camPANO,453782.3338,6072025.36,-3.163
GCP_156_camPANO.tif,3391.111111,572.4444444,GCP_156,camPANO,453776.9532,6072002.479,-3.124
GCP_157_camPANO.tif,3113.185185,605.6296296,GCP_157,camPANO,453772.8994,6071978.072,-3.091
GCP_160_camPANO.tif,2802.37037,671.1111111,GCP_160,camPANO,453775.3805,6071942.096,-3.137
GCP_161_camPANO.tif,2951.703704,672.8888889,GCP_161,camPANO,453781.6993,6071943.657,-3.028
GCP_163_camPANO.tif,2826.37037,733.3333333,GCP_163,camPANO,453788.3352,6071919.807,-3.101
GCP_164_camPANO.tif,2949.037037,739.5555556,GCP_164,camPANO,453794.1808,6071918.814,-2.985
GCP_168_camPANO.tif,2264.888889,840.5925926,GCP_168,camPANO,453787.0987,6071881.456,-3.452
GCP_169_camPANO.tif,2025.333333,868.8888889,GCP_169,camPANO,453784.7091,6071869.946,-3.448
GCP_170_camPANO.tif,2053.777778,956.4444444,GCP_170,camPANO,453797.2125,6071853.558,-3.528
GCP_172_camPANO.tif,1612,1081.777778,GCP_172,camPANO,453802.6807,6071825.407,-3.242
GCP_176_camPANO.tif,691.5555556,1276.444444,GCP_176,camPANO,453806.3111,6071788.856,-2.853
GCP_177_camPANO.tif,1661.037037,1308.444444,GCP_177,camPANO,453836.2022,6071784.648,0.975
GCP_178_camPANO.tif,2160.592593,1374.518519,GCP_178,camPANO,453847.505,6071784.243,1.171
GCP_179_camPANO.tif,2918.666667,1347.555556,GCP_179,camPANO,453860.5877,6071786.986,2.472
GCP_181_camPANO.tif,1934,1848,GCP_181,camPANO,453870.6254,6071747.484,3.478
GCP_182_camPANO.tif,840.8888889,1702.518519,GCP_182,camPANO,453845.7977,6071754.088,1.087
GCP_183_camPANO.tif,4653,1557,GCP_183,camPANO,453896.9809,6071752.946,9.133
GCP_184_camPANO.tif,4294.666667,1528,GCP_184,camPANO,453892.6897,6071755.202,8.743
GCP_185_camPANO.tif,4978.222222,1525.333333,GCP_185,camPANO,453899.8368,6071755.306,9.053
GCP_186_camPANO.tif,4804,1863,GCP_186,camPANO,453901.8513,6071735.586,10.2
GCP_187_camPANO.tif,4517,1840,GCP_187,camPANO,453898.4963,6071740.881,9.659
GCP_188_camPANO.tif,4242,1827,GCP_188,camPANO,453896.093,6071741.266,9.507
